日付,島,現在島台数,記録台数,記録率,◎台数,○台数,△台数,◎率,○以上率,△以上率,現行判定
2026-06-29,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-29,ミスタ島,10,5,50.0,4,0,1,40.0,40.0,50.0,
2026-06-29,ミラクル島,10,5,50.0,2,2,1,20.0,40.0,50.0,
2026-07-09,ガール島,10,3,30.0,2,0,1,20.0,20.0,30.0,
2026-07-09,ゴー島①,10,4,40.0,0,2,2,0.0,20.0,40.0,
2026-07-09,ゴー島②,10,8,80.0,6,0,2,60.0,60.0,80.0,STRONG
2026-07-09,ネオアイム島②,8,7,87.5,3,2,2,37.5,62.5,87.5,STRONG
2026-07-09,ネオアイム島③,8,4,50.0,1,0,3,12.5,12.5,50.0,
2026-07-09,ネオアイム島④,12,2,16.67,1,0,1,8.33,8.33,16.67,
2026-07-09,ネオアイム島⑤,12,3,25.0,0,1,2,0.0,8.33,25.0,
2026-07-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-09,ハッピ島,8,4,50.0,1,1,2,12.5,25.0,50.0,
2026-07-09,ファン島①,10,4,40.0,2,1,1,20.0,30.0,40.0,
2026-07-09,ファン島②,10,2,20.0,0,2,0,0.0,20.0,20.0,
2026-07-09,マイジャグ島A,15,11,73.33,4,2,5,26.67,40.0,73.33,CANDIDATE
2026-07-09,マイジャグ島B,10,12,120.0,5,1,6,50.0,60.0,120.0,STRONG
2026-07-09,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-09,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-09,ミスタ島,10,5,50.0,1,0,4,10.0,10.0,50.0,
2026-07-09,ミラクル島,10,3,30.0,1,0,2,10.0,10.0,30.0,
2026-07-19,ガール島,10,4,40.0,1,2,1,10.0,30.0,40.0,
2026-07-19,ゴー島①,10,3,30.0,1,1,1,10.0,20.0,30.0,
2026-07-19,ゴー島②,10,6,60.0,3,0,3,30.0,30.0,60.0,
2026-07-19,ネオアイム島②,8,5,62.5,3,1,1,37.5,50.0,62.5,
2026-07-19,ネオアイム島③,8,7,87.5,1,0,6,12.5,12.5,87.5,STRONG
2026-07-19,ネオアイム島④,12,5,41.67,1,0,4,8.33,8.33,41.67,
2026-07-19,ネオアイム島⑤,12,7,58.33,4,1,2,33.33,41.67,58.33,
2026-07-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-19,ハッピ島,8,8,100.0,7,1,0,87.5,100.0,100.0,STRONG
2026-07-19,ファン島①,10,10,100.0,4,4,2,40.0,80.0,100.0,STRONG
2026-07-19,ファン島②,10,3,30.0,0,0,3,0.0,0.0,30.0,
2026-07-19,マイジャグ島A,15,14,93.33,4,2,8,26.67,40.0,93.33,STRONG
2026-07-19,マイジャグ島B,10,11,110.0,4,3,4,40.0,70.0,110.0,STRONG
2026-07-19,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-19,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-19,ミスタ島,10,9,90.0,6,1,2,60.0,70.0,90.0,STRONG
2026-07-19,ミラクル島,10,4,40.0,2,1,1,20.0,30.0,40.0,
2026-07-29,ガール島,10,5,50.0,3,1,1,30.0,40.0,50.0,
2026-07-29,ゴー島①,10,4,40.0,1,0,3,10.0,10.0,40.0,
2026-07-29,ゴー島②,10,6,60.0,3,2,1,30.0,50.0,60.0,
2026-07-29,ネオアイム島②,8,6,75.0,3,0,3,37.5,37.5,75.0,CANDIDATE
2026-07-29,ネオアイム島③,8,5,62.5,0,1,4,0.0,12.5,62.5,
2026-07-29,ネオアイム島④,12,5,41.67,2,1,2,16.67,25.0,41.67,
2026-07-29,ネオアイム島⑤,12,3,25.0,1,0,2,8.33,8.33,25.0,
2026-07-29,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-29,ハッピ島,8,5,62.5,3,1,1,37.5,50.0,62.5,
2026-07-29,ファン島①,10,2,20.0,0,2,0,0.0,20.0,20.0,
2026-07-29,ファン島②,10,6,60.0,2,1,3,20.0,30.0,60.0,
2026-07-29,マイジャグ島A,15,9,60.0,1,0,8,6.67,6.67,60.0,
2026-07-29,マイジャグ島B,10,16,160.0,6,3,7,60.0,90.0,160.0,STRONG
2026-07-29,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-29,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-07-29,ミスタ島,10,6,60.0,1,2,3,10.0,30.0,60.0,
2026-07-29,ミラクル島,10,4,40.0,1,0,3,10.0,10.0,40.0,
2026-08-09,ガール島,10,8,80.0,6,1,1,60.0,70.0,80.0,STRONG
2026-08-09,ゴー島①,10,2,20.0,1,0,1,10.0,10.0,20.0,
2026-08-09,ゴー島②,10,5,50.0,3,2,0,30.0,50.0,50.0,
2026-08-09,ネオアイム島②,8,2,25.0,0,1,1,0.0,12.5,25.0,
2026-08-09,ネオアイム島③,8,5,62.5,1,0,4,12.5,12.5,62.5,
2026-08-09,ネオアイム島④,12,4,33.33,2,0,2,16.67,16.67,33.33,
2026-08-09,ネオアイム島⑤,12,3,25.0,0,0,3,0.0,0.0,25.0,
2026-08-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-08-09,ハッピ島,8,3,37.5,1,0,2,12.5,12.5,37.5,
2026-08-09,ファン島①,10,5,50.0,1,2,2,10.0,30.0,50.0,
2026-08-09,ファン島②,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-08-09,マイジャグ島A,15,7,46.67,1,3,3,6.67,26.67,46.67,
2026-08-09,マイジャグ島B,10,6,60.0,2,1,3,20.0,30.0,60.0,
2026-08-09,マイジャグ島C,10,3,30.0,1,0,2,10.0,10.0,30.0,
2026-08-09,マイジャグ島D,15,4,26.67,1,1,2,6.67,13.33,26.67,
2026-08-09,ミスタ島,10,7,70.0,0,3,4,0.0,30.0,70.0,CANDIDATE
2026-08-09,ミラクル島,10,3,30.0,0,2,1,0.0,20.0,30.0,
