日付,島,current_machines,observed_count,unrecorded_count,high_count,high_rate,strong,candidate
2026-04-19,ハッピ島,8,8,0,4,50.0,0,0
2026-04-19,ファン島①,10,10,0,9,90.0,1,1
2026-04-19,ファン島②,10,10,0,4,40.0,0,0
2026-04-19,マイジャグ島A,15,25,0,8,53.333333333333336,0,0
2026-04-19,マイジャグ島B,10,25,0,13,130.0,1,1
2026-04-19,マイジャグ島C,10,0,10,0,0.0,0,0
2026-04-19,マイジャグ島D,15,0,15,0,0.0,0,0
2026-04-19,ミスタ島,10,10,0,1,10.0,0,0
2026-04-19,ミラクル島,10,10,0,6,60.0,0,0
2026-04-29,ガール島,10,10,0,4,40.0,0,0
2026-04-29,ゴー島①,10,10,0,3,30.0,0,0
2026-04-29,ゴー島②,10,10,0,4,40.0,0,0
2026-04-29,ネオアイム島①,8,8,0,4,50.0,0,0
2026-04-29,ネオアイム島②,8,8,0,3,37.5,0,0
2026-04-29,ネオアイム島③,12,12,0,5,41.66666666666667,0,0
2026-04-29,ネオアイム島④,12,12,0,4,33.33333333333333,0,0
2026-04-29,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-04-29,ハッピ島,8,8,0,5,62.5,0,0
2026-04-29,ファン島①,10,10,0,6,60.0,0,0
2026-04-29,ファン島②,10,10,0,6,60.0,0,0
2026-04-29,マイジャグ島A,15,25,0,11,73.33333333333333,0,1
2026-04-29,マイジャグ島B,10,25,0,11,110.00000000000001,1,1
2026-04-29,マイジャグ島C,10,0,10,0,0.0,0,0
2026-04-29,マイジャグ島D,15,0,15,0,0.0,0,0
2026-04-29,ミスタ島,10,10,0,6,60.0,0,0
2026-04-29,ミラクル島,10,10,0,9,90.0,1,1
2026-05-09,ガール島,10,10,0,8,80.0,1,1
2026-05-09,ゴー島①,10,10,0,5,50.0,0,0
2026-05-09,ゴー島②,10,10,0,2,20.0,0,0
2026-05-09,ネオアイム島①,8,8,0,3,37.5,0,0
2026-05-09,ネオアイム島②,8,8,0,5,62.5,0,0
2026-05-09,ネオアイム島③,12,12,0,3,25.0,0,0
2026-05-09,ネオアイム島④,12,12,0,10,83.33333333333334,1,1
2026-05-09,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-05-09,ハッピ島,8,8,0,3,37.5,0,0
2026-05-09,ファン島①,10,10,0,6,60.0,0,0
2026-05-09,ファン島②,10,10,0,6,60.0,0,0
2026-05-09,マイジャグ島A,15,25,0,8,53.333333333333336,0,0
2026-05-09,マイジャグ島B,10,25,0,6,60.0,0,0
2026-05-09,マイジャグ島C,10,0,10,0,0.0,0,0
2026-05-09,マイジャグ島D,15,0,15,0,0.0,0,0
2026-05-09,ミスタ島,10,10,0,3,30.0,0,0
2026-05-09,ミラクル島,10,10,0,5,50.0,0,0
2026-05-19,ガール島,10,10,0,9,90.0,1,1
2026-05-19,ゴー島①,10,10,0,5,50.0,0,0
2026-05-19,ゴー島②,10,10,0,6,60.0,0,0
2026-05-19,ネオアイム島①,8,8,0,3,37.5,0,0
2026-05-19,ネオアイム島②,8,8,0,2,25.0,0,0
2026-05-19,ネオアイム島③,12,12,0,6,50.0,0,0
2026-05-19,ネオアイム島④,12,12,0,4,33.33333333333333,0,0
2026-05-19,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-05-19,ハッピ島,8,8,0,3,37.5,0,0
2026-05-19,ファン島①,10,10,0,3,30.0,0,0
2026-05-19,ファン島②,10,10,0,4,40.0,0,0
2026-05-19,マイジャグ島A,15,25,0,10,66.66666666666666,0,0
2026-05-19,マイジャグ島B,10,25,0,9,90.0,1,1
2026-05-19,マイジャグ島C,10,0,10,0,0.0,0,0
2026-05-19,マイジャグ島D,15,0,15,0,0.0,0,0
2026-05-19,ミスタ島,10,10,0,0,0.0,0,0
2026-05-19,ミラクル島,10,10,0,3,30.0,0,0
2026-05-29,ガール島,10,10,0,3,30.0,0,0
2026-05-29,ゴー島①,10,10,0,5,50.0,0,0
2026-05-29,ゴー島②,10,10,0,6,60.0,0,0
2026-05-29,ネオアイム島①,8,8,0,3,37.5,0,0
2026-05-29,ネオアイム島②,8,8,0,3,37.5,0,0
2026-05-29,ネオアイム島③,12,12,0,4,33.33333333333333,0,0
2026-05-29,ネオアイム島④,12,12,0,3,25.0,0,0
2026-05-29,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-05-29,ハッピ島,8,8,0,7,87.5,1,1
2026-05-29,ファン島①,10,10,0,7,70.0,0,1
2026-05-29,ファン島②,10,10,0,2,20.0,0,0
2026-05-29,マイジャグ島A,15,25,0,11,73.33333333333333,0,1
2026-05-29,マイジャグ島B,10,25,0,9,90.0,1,1
2026-05-29,マイジャグ島C,10,0,10,0,0.0,0,0
2026-05-29,マイジャグ島D,15,0,15,0,0.0,0,0
2026-05-29,ミスタ島,10,10,0,5,50.0,0,0
2026-05-29,ミラクル島,10,10,0,4,40.0,0,0
2026-06-09,ガール島,10,10,0,3,30.0,0,0
2026-06-09,ゴー島①,10,10,0,4,40.0,0,0
2026-06-09,ゴー島②,10,10,0,3,30.0,0,0
2026-06-09,ネオアイム島①,8,8,0,6,75.0,0,1
2026-06-09,ネオアイム島②,8,8,0,4,50.0,0,0
2026-06-09,ネオアイム島③,12,12,0,5,41.66666666666667,0,0
2026-06-09,ネオアイム島④,12,12,0,5,41.66666666666667,0,0
2026-06-09,ネオアイム島⑤,8,8,0,2,25.0,0,0
2026-06-09,ハッピ島,8,8,0,5,62.5,0,0
2026-06-09,ファン島①,10,10,0,1,10.0,0,0
2026-06-09,ファン島②,10,10,0,7,70.0,0,1
2026-06-09,マイジャグ島A,15,25,0,10,66.66666666666666,0,0
2026-06-09,マイジャグ島B,10,25,0,13,130.0,1,1
2026-06-09,マイジャグ島C,10,0,10,0,0.0,0,0
2026-06-09,マイジャグ島D,15,0,15,0,0.0,0,0
2026-06-09,ミスタ島,10,10,0,9,90.0,1,1
2026-06-09,ミラクル島,10,10,0,3,30.0,0,0
2026-06-19,ガール島,10,10,0,4,40.0,0,0
2026-06-19,ゴー島①,10,10,0,4,40.0,0,0
2026-06-19,ゴー島②,10,10,0,2,20.0,0,0
2026-06-19,ネオアイム島①,8,8,0,2,25.0,0,0
2026-06-19,ネオアイム島②,8,8,0,6,75.0,0,1
2026-06-19,ネオアイム島③,12,12,0,5,41.66666666666667,0,0
2026-06-19,ネオアイム島④,12,12,0,12,100.0,1,1
2026-06-19,ネオアイム島⑤,8,8,0,5,62.5,0,0
2026-06-19,ハッピ島,8,8,0,5,62.5,0,0
2026-06-19,ファン島①,10,10,0,5,50.0,0,0
2026-06-19,ファン島②,10,10,0,3,30.0,0,0
2026-06-19,マイジャグ島A,15,25,0,12,80.0,1,1
2026-06-19,マイジャグ島B,10,25,0,10,100.0,1,1
2026-06-19,マイジャグ島C,10,0,10,0,0.0,0,0
2026-06-19,マイジャグ島D,15,0,15,0,0.0,0,0
2026-06-19,ミスタ島,10,10,0,6,60.0,0,0
2026-06-19,ミラクル島,10,10,0,6,60.0,0,0
2026-06-29,ガール島,10,10,0,4,40.0,0,0
2026-06-29,ゴー島①,10,10,0,3,30.0,0,0
2026-06-29,ゴー島②,10,10,0,8,80.0,1,1
2026-06-29,ネオアイム島①,8,8,0,2,25.0,0,0
2026-06-29,ネオアイム島②,8,8,0,2,25.0,0,0
2026-06-29,ネオアイム島③,12,12,0,4,33.33333333333333,0,0
2026-06-29,ネオアイム島④,12,12,0,3,25.0,0,0
2026-06-29,ネオアイム島⑤,8,8,0,7,87.5,1,1
2026-06-29,ハッピ島,8,8,0,2,25.0,0,0
2026-06-29,ファン島①,10,10,0,8,80.0,1,1
2026-06-29,ファン島②,10,10,0,4,40.0,0,0
2026-06-29,マイジャグ島A,15,25,0,13,86.66666666666667,1,1
2026-06-29,マイジャグ島B,10,25,0,19,190.0,1,1
2026-06-29,マイジャグ島C,10,0,10,0,0.0,0,0
2026-06-29,マイジャグ島D,15,0,15,0,0.0,0,0
2026-06-29,ミスタ島,10,10,0,5,50.0,0,0
2026-06-29,ミラクル島,10,10,0,5,50.0,0,0
2026-07-09,ガール島,10,10,0,3,30.0,0,0
2026-07-09,ゴー島①,10,10,0,4,40.0,0,0
2026-07-09,ゴー島②,10,10,0,8,80.0,1,1
2026-07-09,ネオアイム島①,8,8,0,3,37.5,0,0
2026-07-09,ネオアイム島②,8,8,0,7,87.5,1,1
2026-07-09,ネオアイム島③,12,12,0,4,33.33333333333333,0,0
2026-07-09,ネオアイム島④,12,12,0,2,16.666666666666664,0,0
2026-07-09,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-07-09,ハッピ島,8,8,0,4,50.0,0,0
2026-07-09,ファン島①,10,10,0,4,40.0,0,0
2026-07-09,ファン島②,10,10,0,2,20.0,0,0
2026-07-09,マイジャグ島A,15,25,0,11,73.33333333333333,0,1
2026-07-09,マイジャグ島B,10,25,0,12,120.0,1,1
2026-07-09,マイジャグ島C,10,0,10,0,0.0,0,0
2026-07-09,マイジャグ島D,15,0,15,0,0.0,0,0
2026-07-09,ミスタ島,10,10,0,5,50.0,0,0
2026-07-09,ミラクル島,10,10,0,3,30.0,0,0
2026-07-19,ガール島,10,10,0,4,40.0,0,0
2026-07-19,ゴー島①,10,10,0,3,30.0,0,0
2026-07-19,ゴー島②,10,10,0,6,60.0,0,0
2026-07-19,ネオアイム島①,8,8,0,2,25.0,0,0
2026-07-19,ネオアイム島②,8,8,0,5,62.5,0,0
2026-07-19,ネオアイム島③,12,12,0,7,58.333333333333336,0,0
2026-07-19,ネオアイム島④,12,12,0,5,41.66666666666667,0,0
2026-07-19,ネオアイム島⑤,8,8,0,7,87.5,1,1
2026-07-19,ハッピ島,8,8,0,8,100.0,1,1
2026-07-19,ファン島①,10,10,0,10,100.0,1,1
2026-07-19,ファン島②,10,10,0,3,30.0,0,0
2026-07-19,マイジャグ島A,15,25,0,14,93.33333333333333,1,1
2026-07-19,マイジャグ島B,10,25,0,11,110.00000000000001,1,1
2026-07-19,マイジャグ島C,10,0,10,0,0.0,0,0
2026-07-19,マイジャグ島D,15,0,15,0,0.0,0,0
2026-07-19,ミスタ島,10,10,0,9,90.0,1,1
2026-07-19,ミラクル島,10,10,0,4,40.0,0,0
2026-07-29,ガール島,10,10,0,5,50.0,0,0
2026-07-29,ゴー島①,10,10,0,4,40.0,0,0
2026-07-29,ゴー島②,10,10,0,6,60.0,0,0
2026-07-29,ネオアイム島①,8,8,0,4,50.0,0,0
2026-07-29,ネオアイム島②,8,8,0,6,75.0,0,1
2026-07-29,ネオアイム島③,12,12,0,5,41.66666666666667,0,0
2026-07-29,ネオアイム島④,12,12,0,5,41.66666666666667,0,0
2026-07-29,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-07-29,ハッピ島,8,8,0,5,62.5,0,0
2026-07-29,ファン島①,10,10,0,2,20.0,0,0
2026-07-29,ファン島②,10,10,0,6,60.0,0,0
2026-07-29,マイジャグ島A,15,25,0,9,60.0,0,0
2026-07-29,マイジャグ島B,10,25,0,16,160.0,1,1
2026-07-29,マイジャグ島C,10,0,10,0,0.0,0,0
2026-07-29,マイジャグ島D,15,0,15,0,0.0,0,0
2026-07-29,ミスタ島,10,10,0,6,60.0,0,0
2026-07-29,ミラクル島,10,10,0,4,40.0,0,0
2026-08-09,ガール島,10,10,0,8,80.0,1,1
2026-08-09,ゴー島①,10,10,0,2,20.0,0,0
2026-08-09,ゴー島②,10,10,0,5,50.0,0,0
2026-08-09,ネオアイム島①,8,8,0,2,25.0,0,0
2026-08-09,ネオアイム島②,8,8,0,2,25.0,0,0
2026-08-09,ネオアイム島③,12,12,0,5,41.66666666666667,0,0
2026-08-09,ネオアイム島④,12,12,0,4,33.33333333333333,0,0
2026-08-09,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-08-09,ハッピ島,8,8,0,3,37.5,0,0
2026-08-09,ファン島①,10,10,0,5,50.0,0,0
2026-08-09,ファン島②,10,10,0,0,0.0,0,0
2026-08-09,マイジャグ島A,15,15,0,7,46.666666666666664,0,0
2026-08-09,マイジャグ島B,10,10,0,6,60.0,0,0
2026-08-09,マイジャグ島C,10,10,0,3,30.0,0,0
2026-08-09,マイジャグ島D,15,15,0,4,26.666666666666668,0,0
2026-08-09,ミスタ島,10,10,0,7,70.0,0,1
2026-08-09,ミラクル島,10,10,0,3,30.0,0,0
