日付,島,strong,candidate,lag1_strong,lag1_candidate,lag2_strong,lag2_candidate,lag3_strong,lag3_candidate,strong_last3
2026-04-19,ネオアイム島⑤,1,1,0,0,0,0,0,0,0
2026-04-29,ネオアイム島⑤,0,0,1,1,0,0,0,0,1
2026-05-09,ネオアイム島⑤,0,0,0,0,1,1,0,0,1
2026-05-19,ネオアイム島⑤,0,0,0,0,0,0,1,1,1
2026-05-29,ネオアイム島⑤,0,0,0,0,0,0,0,0,0
2026-06-09,ネオアイム島⑤,0,0,0,0,0,0,0,0,0
2026-06-19,ネオアイム島⑤,0,0,0,0,0,0,0,0,0
2026-06-29,ネオアイム島⑤,1,1,0,0,0,0,0,0,0
2026-07-09,ネオアイム島⑤,0,0,1,1,0,0,0,0,1
2026-07-19,ネオアイム島⑤,1,1,0,0,1,1,0,0,1
2026-07-29,ネオアイム島⑤,0,0,1,1,0,0,1,1,2
2026-08-09,ネオアイム島⑤,0,0,0,0,1,1,0,0,1
2026-01-19,ハッピ島,0,0,0,0,1,1,0,0,1
2026-01-29,ハッピ島,0,0,0,0,0,0,1,1,1
2026-02-09,ハッピ島,1,1,0,0,0,0,0,0,0
2026-02-19,ハッピ島,0,0,1,1,0,0,0,0,1
2026-03-09,ハッピ島,0,0,0,0,1,1,0,0,1
2026-03-19,ハッピ島,1,1,0,0,0,0,1,1,1
2026-03-29,ハッピ島,0,0,1,1,0,0,0,0,1
2026-04-09,ハッピ島,0,0,0,0,1,1,0,0,1
2026-04-19,ハッピ島,0,0,0,0,0,0,1,1,1
2026-04-29,ハッピ島,0,0,0,0,0,0,0,0,0
2026-05-09,ハッピ島,0,0,0,0,0,0,0,0,0
2026-05-19,ハッピ島,0,0,0,0,0,0,0,0,0
2026-05-29,ハッピ島,1,1,0,0,0,0,0,0,0
2026-06-09,ハッピ島,0,0,1,1,0,0,0,0,1
2026-06-19,ハッピ島,0,0,0,0,1,1,0,0,1
2026-06-29,ハッピ島,0,0,0,0,0,0,1,1,1
2026-07-09,ハッピ島,0,0,0,0,0,0,0,0,0
2026-07-19,ハッピ島,1,1,0,0,0,0,0,0,0
2026-07-29,ハッピ島,0,0,1,1,0,0,0,0,1
2026-08-09,ハッピ島,0,0,0,0,1,1,0,0,1
2026-01-19,ファン島①,1,1,0,0,0,0,0,0,0
2026-01-29,ファン島①,0,1,1,1,0,0,0,0,1
2026-02-09,ファン島①,0,0,0,1,1,1,0,0,1
2026-02-19,ファン島①,0,0,0,0,0,1,1,1,1
2026-03-09,ファン島①,0,0,0,0,0,0,0,1,0
2026-03-19,ファン島①,0,0,0,0,0,0,0,0,0
2026-03-29,ファン島①,0,0,0,0,0,0,0,0,0
2026-04-09,ファン島①,0,0,0,0,0,0,0,0,0
2026-04-19,ファン島①,1,1,0,0,0,0,0,0,0
2026-04-29,ファン島①,0,0,1,1,0,0,0,0,1
2026-05-09,ファン島①,0,0,0,0,1,1,0,0,1
2026-05-19,ファン島①,0,0,0,0,0,0,1,1,1
2026-05-29,ファン島①,0,1,0,0,0,0,0,0,0
2026-06-09,ファン島①,0,0,0,1,0,0,0,0,0
2026-06-19,ファン島①,0,0,0,0,0,1,0,0,0
2026-06-29,ファン島①,1,1,0,0,0,0,0,1,0
2026-07-09,ファン島①,0,0,1,1,0,0,0,0,1
2026-07-19,ファン島①,1,1,0,0,1,1,0,0,1
2026-07-29,ファン島①,0,0,1,1,0,0,1,1,2
2026-08-09,ファン島①,0,0,0,0,1,1,0,0,1
2026-01-19,ファン島②,1,1,1,1,0,0,0,0,1
2026-01-29,ファン島②,0,0,1,1,1,1,0,0,2
2026-02-09,ファン島②,0,0,0,0,1,1,1,1,2
2026-02-19,ファン島②,0,0,0,0,0,0,1,1,1
2026-03-09,ファン島②,0,0,0,0,0,0,0,0,0
2026-03-19,ファン島②,0,0,0,0,0,0,0,0,0
2026-03-29,ファン島②,0,0,0,0,0,0,0,0,0
2026-04-09,ファン島②,0,0,0,0,0,0,0,0,0
2026-04-19,ファン島②,0,0,0,0,0,0,0,0,0
2026-04-29,ファン島②,0,0,0,0,0,0,0,0,0
2026-05-09,ファン島②,0,0,0,0,0,0,0,0,0
2026-05-19,ファン島②,0,0,0,0,0,0,0,0,0
2026-05-29,ファン島②,0,0,0,0,0,0,0,0,0
2026-06-09,ファン島②,0,1,0,0,0,0,0,0,0
2026-06-19,ファン島②,0,0,0,1,0,0,0,0,0
2026-06-29,ファン島②,0,0,0,0,0,1,0,0,0
2026-07-09,ファン島②,0,0,0,0,0,0,0,1,0
2026-07-19,ファン島②,0,0,0,0,0,0,0,0,0
2026-07-29,ファン島②,0,0,0,0,0,0,0,0,0
2026-08-09,ファン島②,0,0,0,0,0,0,0,0,0
2026-01-19,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-01-29,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-02-09,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-02-19,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-03-09,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-03-19,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-03-29,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-04-09,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-04-19,マイジャグ島A,0,0,0,0,0,0,0,0,0
2026-04-29,マイジャグ島A,0,1,0,0,0,0,0,0,0
2026-05-09,マイジャグ島A,0,0,0,1,0,0,0,0,0
2026-05-19,マイジャグ島A,0,0,0,0,0,1,0,0,0
2026-05-29,マイジャグ島A,0,1,0,0,0,0,0,1,0
2026-06-09,マイジャグ島A,0,0,0,1,0,0,0,0,0
2026-06-19,マイジャグ島A,1,1,0,0,0,1,0,0,0
2026-06-29,マイジャグ島A,1,1,1,1,0,0,0,1,1
2026-07-09,マイジャグ島A,0,1,1,1,1,1,0,0,2
2026-07-19,マイジャグ島A,1,1,0,1,1,1,1,1,2
2026-07-29,マイジャグ島A,0,0,1,1,0,1,1,1,2
2026-08-09,マイジャグ島A,0,0,0,0,1,1,0,1,1
2026-01-19,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-01-29,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-02-09,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-02-19,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-03-09,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-03-19,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-03-29,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-04-09,マイジャグ島B,0,0,0,0,0,0,0,0,0
2026-04-19,マイジャグ島B,1,1,0,0,0,0,0,0,0
2026-04-29,マイジャグ島B,1,1,1,1,0,0,0,0,1
2026-05-09,マイジャグ島B,0,0,1,1,1,1,0,0,2
2026-05-19,マイジャグ島B,1,1,0,0,1,1,1,1,2
2026-05-29,マイジャグ島B,1,1,1,1,0,0,1,1,2
2026-06-09,マイジャグ島B,1,1,1,1,1,1,0,0,2
2026-06-19,マイジャグ島B,1,1,1,1,1,1,1,1,3
2026-06-29,マイジャグ島B,1,1,1,1,1,1,1,1,3
2026-07-09,マイジャグ島B,1,1,1,1,1,1,1,1,3
2026-07-19,マイジャグ島B,1,1,1,1,1,1,1,1,3
2026-07-29,マイジャグ島B,1,1,1,1,1,1,1,1,3
2026-08-09,マイジャグ島B,0,0,1,1,1,1,1,1,3
2026-01-19,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-01-29,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-02-09,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-02-19,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-03-09,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-03-19,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-03-29,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-04-09,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-04-19,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-04-29,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-05-09,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-05-19,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-05-29,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-06-09,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-06-19,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-06-29,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-07-09,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-07-19,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-07-29,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-08-09,マイジャグ島C,0,0,0,0,0,0,0,0,0
2026-01-19,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-01-29,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-02-09,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-02-19,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-03-09,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-03-19,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-03-29,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-04-09,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-04-19,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-04-29,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-05-09,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-05-19,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-05-29,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-06-09,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-06-19,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-06-29,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-07-09,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-07-19,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-07-29,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-08-09,マイジャグ島D,0,0,0,0,0,0,0,0,0
2026-01-19,ミスタ島,0,0,0,0,0,0,0,0,0
2026-01-29,ミスタ島,1,1,0,0,0,0,0,0,0
2026-02-09,ミスタ島,0,1,1,1,0,0,0,0,1
2026-02-19,ミスタ島,0,0,0,1,1,1,0,0,1
2026-03-09,ミスタ島,0,0,0,0,0,1,1,1,1
2026-03-19,ミスタ島,0,0,0,0,0,0,0,1,0
2026-03-29,ミスタ島,0,0,0,0,0,0,0,0,0
2026-04-09,ミスタ島,0,0,0,0,0,0,0,0,0
2026-04-19,ミスタ島,0,0,0,0,0,0,0,0,0
2026-04-29,ミスタ島,0,0,0,0,0,0,0,0,0
