日付,島,台数,◎率,○以上率,△以上率,R1_現行strong,R2_○重視,R3_○＋◎,R4_強め,R5_かなり強め,R6_◎重視
2026-01-29,ネオアイム島③,12,33.33333333333333,58.333333333333336,75.0,0,0,0,0,0,0
2026-01-29,ネオアイム島④,12,16.666666666666664,41.66666666666667,75.0,0,0,0,0,0,0
2026-01-29,ネオアイム島⑤,8,12.5,50.0,87.5,1,0,0,0,0,0
2026-01-29,ハッピ島,8,0.0,25.0,50.0,0,0,0,0,0,0
2026-01-29,ファン島①,10,20.0,30.0,70.0,0,0,0,0,0,0
2026-01-29,ファン島②,10,20.0,20.0,40.0,0,0,0,0,0,0
2026-01-29,マイジャグ島A,15,0.0,0.0,26.666666666666668,0,0,0,0,0,0
2026-01-29,マイジャグ島B,10,0.0,20.0,30.0,0,0,0,0,0,0
2026-01-29,マイジャグ島C,10,0.0,0.0,20.0,0,0,0,0,0,0
2026-01-29,マイジャグ島D,15,0.0,0.0,33.33333333333333,0,0,0,0,0,0
2026-01-29,ミスタ島,10,70.0,80.0,100.0,1,1,1,1,1,1
2026-01-29,ミラクル島,10,10.0,30.0,70.0,0,0,0,0,0,0
2026-02-09,ガール島,10,20.0,40.0,40.0,0,0,0,0,0,0
2026-02-09,ゴー島①,10,10.0,50.0,90.0,1,0,0,0,0,0
2026-02-09,ゴー島②,10,10.0,10.0,40.0,0,0,0,0,0,0
2026-02-09,ネオアイム島①,8,12.5,12.5,62.5,0,0,0,0,0,0
2026-02-09,ネオアイム島②,8,0.0,12.5,37.5,0,0,0,0,0,0
2026-02-09,ネオアイム島③,12,0.0,8.333333333333332,16.666666666666664,0,0,0,0,0,0
2026-02-09,ネオアイム島④,12,8.333333333333332,25.0,58.333333333333336,0,0,0,0,0,0
2026-02-09,ネオアイム島⑤,8,0.0,0.0,0.0,0,0,0,0,0,0
2026-02-09,ハッピ島,8,50.0,62.5,100.0,1,1,1,1,0,0
2026-02-09,ファン島①,10,10.0,10.0,40.0,0,0,0,0,0,0
2026-02-09,ファン島②,10,10.0,10.0,40.0,0,0,0,0,0,0
2026-02-09,マイジャグ島A,15,0.0,6.666666666666667,20.0,0,0,0,0,0,0
2026-02-09,マイジャグ島B,10,0.0,0.0,40.0,0,0,0,0,0,0
2026-02-09,マイジャグ島C,10,0.0,0.0,30.0,0,0,0,0,0,0
2026-02-09,マイジャグ島D,15,13.333333333333334,20.0,40.0,0,0,0,0,0,0
2026-02-09,ミスタ島,10,10.0,30.0,70.0,0,0,0,0,0,0
2026-02-09,ミラクル島,10,0.0,0.0,30.0,0,0,0,0,0,0
2026-02-19,ガール島,10,50.0,80.0,100.0,1,1,1,1,1,1
2026-02-19,ゴー島①,10,10.0,20.0,50.0,0,0,0,0,0,0
2026-02-19,ゴー島②,10,20.0,30.0,80.0,1,0,0,0,0,0
2026-02-19,ネオアイム島①,8,0.0,12.5,50.0,0,0,0,0,0,0
2026-02-19,ネオアイム島②,8,0.0,0.0,37.5,0,0,0,0,0,0
2026-02-19,ネオアイム島③,12,0.0,0.0,33.33333333333333,0,0,0,0,0,0
2026-02-19,ネオアイム島④,12,0.0,0.0,25.0,0,0,0,0,0,0
2026-02-19,ネオアイム島⑤,8,0.0,0.0,25.0,0,0,0,0,0,0
2026-02-19,ハッピ島,8,0.0,12.5,62.5,0,0,0,0,0,0
2026-02-19,ファン島①,10,0.0,10.0,40.0,0,0,0,0,0,0
2026-02-19,ファン島②,10,0.0,0.0,20.0,0,0,0,0,0,0
2026-02-19,マイジャグ島A,15,6.666666666666667,6.666666666666667,40.0,0,0,0,0,0,0
2026-02-19,マイジャグ島B,10,0.0,0.0,10.0,0,0,0,0,0,0
2026-02-19,マイジャグ島C,10,10.0,20.0,60.0,0,0,0,0,0,0
2026-02-19,マイジャグ島D,15,0.0,0.0,6.666666666666667,0,0,0,0,0,0
2026-02-19,ミスタ島,10,0.0,20.0,50.0,0,0,0,0,0,0
2026-02-19,ミラクル島,10,10.0,30.0,40.0,0,0,0,0,0,0
2026-03-09,ガール島,10,10.0,10.0,40.0,0,0,0,0,0,0
2026-03-09,ゴー島①,10,70.0,100.0,100.0,1,1,1,1,1,1
2026-03-09,ゴー島②,10,20.0,40.0,60.0,0,0,0,0,0,0
2026-03-09,ネオアイム島①,8,0.0,12.5,37.5,0,0,0,0,0,0
2026-03-09,ネオアイム島②,8,25.0,37.5,50.0,0,0,0,0,0,0
2026-03-09,ネオアイム島③,12,16.666666666666664,25.0,41.66666666666667,0,0,0,0,0,0
2026-03-09,ネオアイム島④,12,0.0,0.0,25.0,0,0,0,0,0,0
2026-03-09,ネオアイム島⑤,8,0.0,12.5,25.0,0,0,0,0,0,0
2026-03-09,ハッピ島,8,0.0,12.5,25.0,0,0,0,0,0,0
2026-03-09,ファン島①,10,0.0,30.0,30.0,0,0,0,0,0,0
2026-03-09,ファン島②,10,10.0,10.0,30.0,0,0,0,0,0,0
2026-03-09,マイジャグ島A,15,6.666666666666667,13.333333333333334,40.0,0,0,0,0,0,0
2026-03-09,マイジャグ島B,10,20.0,30.0,40.0,0,0,0,0,0,0
2026-03-09,マイジャグ島C,10,10.0,10.0,50.0,0,0,0,0,0,0
2026-03-09,マイジャグ島D,15,6.666666666666667,6.666666666666667,40.0,0,0,0,0,0,0
2026-03-09,ミスタ島,10,10.0,10.0,50.0,0,0,0,0,0,0
2026-03-09,ミラクル島,10,10.0,30.0,50.0,0,0,0,0,0,0
2026-03-19,ガール島,10,40.0,40.0,40.0,0,0,0,0,0,0
2026-03-19,ゴー島①,10,10.0,20.0,30.0,0,0,0,0,0,0
2026-03-19,ゴー島②,10,20.0,40.0,40.0,0,0,0,0,0,0
2026-03-19,ネオアイム島①,8,12.5,37.5,75.0,0,0,0,0,0,0
2026-03-19,ネオアイム島②,8,12.5,12.5,50.0,0,0,0,0,0,0
2026-03-19,ネオアイム島③,12,8.333333333333332,33.33333333333333,33.33333333333333,0,0,0,0,0,0
2026-03-19,ネオアイム島④,12,33.33333333333333,41.66666666666667,58.333333333333336,0,0,0,0,0,0
2026-03-19,ネオアイム島⑤,8,0.0,0.0,25.0,0,0,0,0,0,0
2026-03-19,ハッピ島,8,37.5,62.5,87.5,1,1,1,0,0,0
2026-03-19,ファン島①,10,0.0,20.0,50.0,0,0,0,0,0,0
2026-03-19,ファン島②,10,10.0,40.0,50.0,0,0,0,0,0,0
2026-03-19,マイジャグ島A,15,6.666666666666667,26.666666666666668,46.666666666666664,0,0,0,0,0,0
2026-03-19,マイジャグ島B,10,0.0,30.0,50.0,0,0,0,0,0,0
2026-03-19,マイジャグ島C,10,0.0,20.0,40.0,0,0,0,0,0,0
2026-03-19,マイジャグ島D,15,13.333333333333334,13.333333333333334,33.33333333333333,0,0,0,0,0,0
2026-03-19,ミスタ島,10,10.0,20.0,40.0,0,0,0,0,0,0
2026-03-19,ミラクル島,10,10.0,20.0,50.0,0,0,0,0,0,0
2026-03-29,ガール島,10,20.0,20.0,40.0,0,0,0,0,0,0
2026-03-29,ゴー島①,10,10.0,20.0,30.0,0,0,0,0,0,0
2026-03-29,ゴー島②,10,20.0,30.0,40.0,0,0,0,0,0,0
2026-03-29,ネオアイム島①,8,0.0,0.0,12.5,0,0,0,0,0,0
2026-03-29,ネオアイム島②,8,0.0,0.0,25.0,0,0,0,0,0,0
2026-03-29,ネオアイム島③,12,0.0,8.333333333333332,16.666666666666664,0,0,0,0,0,0
2026-03-29,ネオアイム島④,12,0.0,16.666666666666664,16.666666666666664,0,0,0,0,0,0
2026-03-29,ネオアイム島⑤,8,12.5,12.5,37.5,0,0,0,0,0,0
2026-03-29,ハッピ島,8,0.0,12.5,37.5,0,0,0,0,0,0
2026-03-29,ファン島①,10,0.0,0.0,50.0,0,0,0,0,0,0
2026-03-29,ファン島②,10,40.0,50.0,60.0,0,0,0,0,0,0
2026-03-29,マイジャグ島A,15,13.333333333333334,20.0,20.0,0,0,0,0,0,0
2026-03-29,マイジャグ島B,10,10.0,20.0,20.0,0,0,0,0,0,0
2026-03-29,マイジャグ島C,10,0.0,10.0,10.0,0,0,0,0,0,0
2026-03-29,マイジャグ島D,15,26.666666666666668,26.666666666666668,40.0,0,0,0,0,0,0
2026-03-29,ミスタ島,10,10.0,10.0,10.0,0,0,0,0,0,0
2026-03-29,ミラクル島,10,10.0,10.0,40.0,0,0,0,0,0,0
2026-04-09,ガール島,10,50.0,60.0,80.0,1,1,1,1,0,0
2026-04-09,ゴー島①,10,10.0,10.0,50.0,0,0,0,0,0,0
2026-04-09,ゴー島②,10,30.0,30.0,60.0,0,0,0,0,0,0
2026-04-09,ネオアイム島①,8,25.0,25.0,75.0,0,0,0,0,0,0
2026-04-09,ネオアイム島②,8,0.0,0.0,25.0,0,0,0,0,0,0
2026-04-09,ネオアイム島③,12,16.666666666666664,16.666666666666664,25.0,0,0,0,0,0,0
2026-04-09,ネオアイム島④,12,8.333333333333332,25.0,33.33333333333333,0,0,0,0,0,0
2026-04-09,ネオアイム島⑤,8,0.0,25.0,37.5,0,0,0,0,0,0
2026-04-09,ハッピ島,8,12.5,12.5,50.0,0,0,0,0,0,0
2026-04-09,ファン島①,10,10.0,20.0,50.0,0,0,0,0,0,0
2026-04-09,ファン島②,10,10.0,20.0,50.0,0,0,0,0,0,0
2026-04-09,マイジャグ島A,15,6.666666666666667,20.0,46.666666666666664,0,0,0,0,0,0
2026-04-09,マイジャグ島B,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-09,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-09,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-09,ミスタ島,10,0.0,10.0,50.0,0,0,0,0,0,0
2026-04-09,ミラクル島,10,0.0,30.0,40.0,0,0,0,0,0,0
2026-04-19,ガール島,10,0.0,20.0,50.0,0,0,0,0,0,0
2026-04-19,ゴー島①,10,10.0,20.0,40.0,0,0,0,0,0,0
2026-04-19,ゴー島②,10,20.0,30.0,40.0,0,0,0,0,0,0
2026-04-19,ネオアイム島①,8,0.0,25.0,37.5,0,0,0,0,0,0
2026-04-19,ネオアイム島②,8,0.0,12.5,50.0,0,0,0,0,0,0
2026-04-19,ネオアイム島③,12,8.333333333333332,16.666666666666664,41.66666666666667,0,0,0,0,0,0
2026-04-19,ネオアイム島④,12,16.666666666666664,33.33333333333333,41.66666666666667,0,0,0,0,0,0
2026-04-19,ネオアイム島⑤,8,75.0,87.5,100.0,1,1,1,1,1,1
2026-04-19,ハッピ島,8,12.5,12.5,50.0,0,0,0,0,0,0
2026-04-19,ファン島①,10,50.0,60.0,90.0,1,1,1,1,0,0
2026-04-19,ファン島②,10,10.0,20.0,40.0,0,0,0,0,0,0
2026-04-19,マイジャグ島A,15,13.333333333333334,26.666666666666668,46.666666666666664,0,0,0,0,0,0
2026-04-19,マイジャグ島B,10,0.0,10.0,50.0,0,0,0,0,0,0
2026-04-19,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-19,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-19,ミスタ島,10,0.0,0.0,10.0,0,0,0,0,0,0
2026-04-19,ミラクル島,10,10.0,30.0,60.0,0,0,0,0,0,0
2026-04-29,ガール島,10,20.0,30.0,40.0,0,0,0,0,0,0
2026-04-29,ゴー島①,10,20.0,20.0,30.0,0,0,0,0,0,0
2026-04-29,ゴー島②,10,20.0,30.0,40.0,0,0,0,0,0,0
2026-04-29,ネオアイム島①,8,25.0,37.5,50.0,0,0,0,0,0,0
2026-04-29,ネオアイム島②,8,12.5,12.5,37.5,0,0,0,0,0,0
2026-04-29,ネオアイム島③,12,8.333333333333332,16.666666666666664,41.66666666666667,0,0,0,0,0,0
2026-04-29,ネオアイム島④,12,16.666666666666664,16.666666666666664,33.33333333333333,0,0,0,0,0,0
2026-04-29,ネオアイム島⑤,8,12.5,12.5,37.5,0,0,0,0,0,0
2026-04-29,ハッピ島,8,37.5,50.0,62.5,0,0,0,0,0,0
2026-04-29,ファン島①,10,10.0,50.0,60.0,0,0,0,0,0,0
2026-04-29,ファン島②,10,10.0,20.0,60.0,0,0,0,0,0,0
2026-04-29,マイジャグ島A,15,6.666666666666667,13.333333333333334,40.0,0,0,0,0,0,0
2026-04-29,マイジャグ島B,10,10.0,10.0,40.0,0,0,0,0,0,0
2026-04-29,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-29,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-29,ミスタ島,10,30.0,30.0,60.0,0,0,0,0,0,0
2026-04-29,ミラクル島,10,40.0,70.0,90.0,1,1,1,1,1,1
2026-05-09,ガール島,10,50.0,50.0,80.0,1,0,0,0,0,0
2026-05-09,ゴー島①,10,10.0,30.0,50.0,0,0,0,0,0,0
2026-05-09,ゴー島②,10,10.0,10.0,20.0,0,0,0,0,0,0
2026-05-09,ネオアイム島①,8,0.0,0.0,37.5,0,0,0,0,0,0
2026-05-09,ネオアイム島②,8,25.0,37.5,62.5,0,0,0,0,0,0
2026-05-09,ネオアイム島③,12,0.0,8.333333333333332,25.0,0,0,0,0,0,0
2026-05-09,ネオアイム島④,12,58.333333333333336,66.66666666666666,83.33333333333334,1,1,1,1,0,0
2026-05-09,ネオアイム島⑤,8,12.5,12.5,37.5,0,0,0,0,0,0
2026-05-09,ハッピ島,8,25.0,25.0,37.5,0,0,0,0,0,0
2026-05-09,ファン島①,10,20.0,20.0,60.0,0,0,0,0,0,0
2026-05-09,ファン島②,10,0.0,0.0,60.0,0,0,0,0,0,0
2026-05-09,マイジャグ島A,15,0.0,6.666666666666667,13.333333333333334,0,0,0,0,0,0
2026-05-09,マイジャグ島B,10,0.0,0.0,30.0,0,0,0,0,0,0
2026-05-09,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-09,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-09,ミスタ島,10,10.0,10.0,30.0,0,0,0,0,0,0
2026-05-09,ミラクル島,10,20.0,40.0,50.0,0,0,0,0,0,0
2026-05-19,ガール島,10,60.0,70.0,90.0,1,1,1,1,1,1
2026-05-19,ゴー島①,10,0.0,20.0,50.0,0,0,0,0,0,0
2026-05-19,ゴー島②,10,0.0,10.0,60.0,0,0,0,0,0,0
2026-05-19,ネオアイム島①,8,25.0,25.0,37.5,0,0,0,0,0,0
2026-05-19,ネオアイム島②,8,0.0,0.0,25.0,0,0,0,0,0,0
2026-05-19,ネオアイム島③,12,8.333333333333332,16.666666666666664,50.0,0,0,0,0,0,0
2026-05-19,ネオアイム島④,12,8.333333333333332,8.333333333333332,33.33333333333333,0,0,0,0,0,0
2026-05-19,ネオアイム島⑤,8,0.0,12.5,37.5,0,0,0,0,0,0
2026-05-19,ハッピ島,8,25.0,25.0,37.5,0,0,0,0,0,0
2026-05-19,ファン島①,10,0.0,10.0,30.0,0,0,0,0,0,0
2026-05-19,ファン島②,10,10.0,30.0,40.0,0,0,0,0,0,0
2026-05-19,マイジャグ島A,15,0.0,6.666666666666667,33.33333333333333,0,0,0,0,0,0
2026-05-19,マイジャグ島B,10,10.0,20.0,50.0,0,0,0,0,0,0
2026-05-19,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-19,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-19,ミスタ島,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-19,ミラクル島,10,10.0,20.0,30.0,0,0,0,0,0,0
2026-05-29,ガール島,10,20.0,20.0,30.0,0,0,0,0,0,0
2026-05-29,ゴー島①,10,0.0,10.0,50.0,0,0,0,0,0,0
2026-05-29,ゴー島②,10,10.0,40.0,60.0,0,0,0,0,0,0
2026-05-29,ネオアイム島①,8,0.0,12.5,37.5,0,0,0,0,0,0
2026-05-29,ネオアイム島②,8,12.5,25.0,37.5,0,0,0,0,0,0
2026-05-29,ネオアイム島③,12,8.333333333333332,25.0,33.33333333333333,0,0,0,0,0,0
2026-05-29,ネオアイム島④,12,0.0,0.0,25.0,0,0,0,0,0,0
2026-05-29,ネオアイム島⑤,8,25.0,25.0,37.5,0,0,0,0,0,0
2026-05-29,ハッピ島,8,37.5,50.0,87.5,1,0,0,0,0,0
2026-05-29,ファン島①,10,0.0,30.0,70.0,0,0,0,0,0,0
2026-05-29,ファン島②,10,10.0,10.0,20.0,0,0,0,0,0,0
2026-05-29,マイジャグ島A,15,6.666666666666667,13.333333333333334,53.333333333333336,0,0,0,0,0,0
2026-05-29,マイジャグ島B,10,10.0,10.0,30.0,0,0,0,0,0,0
2026-05-29,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-29,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-29,ミスタ島,10,0.0,10.0,50.0,0,0,0,0,0,0
2026-05-29,ミラクル島,10,20.0,40.0,40.0,0,0,0,0,0,0
2026-06-09,ガール島,10,30.0,30.0,30.0,0,0,0,0,0,0
2026-06-09,ゴー島①,10,20.0,20.0,40.0,0,0,0,0,0,0
2026-06-09,ゴー島②,10,10.0,10.0,30.0,0,0,0,0,0,0
2026-06-09,ネオアイム島①,8,37.5,50.0,75.0,0,0,0,0,0,0
2026-06-09,ネオアイム島②,8,0.0,12.5,50.0,0,0,0,0,0,0
2026-06-09,ネオアイム島③,12,25.0,33.33333333333333,41.66666666666667,0,0,0,0,0,0
2026-06-09,ネオアイム島④,12,0.0,16.666666666666664,41.66666666666667,0,0,0,0,0,0
2026-06-09,ネオアイム島⑤,8,0.0,12.5,25.0,0,0,0,0,0,0
2026-06-09,ハッピ島,8,12.5,25.0,62.5,0,0,0,0,0,0
2026-06-09,ファン島①,10,10.0,10.0,10.0,0,0,0,0,0,0
2026-06-09,ファン島②,10,20.0,60.0,70.0,0,0,0,0,0,0
2026-06-09,マイジャグ島A,15,6.666666666666667,6.666666666666667,46.666666666666664,0,0,0,0,0,0
2026-06-09,マイジャグ島B,10,10.0,10.0,40.0,0,0,0,0,0,0
2026-06-09,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-06-09,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-06-09,ミスタ島,10,60.0,80.0,90.0,1,1,1,1,1,1
2026-06-09,ミラクル島,10,20.0,20.0,30.0,0,0,0,0,0,0
2026-06-19,ガール島,10,10.0,20.0,40.0,0,0,0,0,0,0
2026-06-19,ゴー島①,10,0.0,10.0,40.0,0,0,0,0,0,0
2026-06-19,ゴー島②,10,0.0,0.0,20.0,0,0,0,0,0,0
2026-06-19,ネオアイム島①,8,0.0,0.0,25.0,0,0,0,0,0,0
2026-06-19,ネオアイム島②,8,0.0,50.0,75.0,0,0,0,0,0,0
2026-06-19,ネオアイム島③,12,8.333333333333332,16.666666666666664,41.66666666666667,0,0,0,0,0,0
2026-06-19,ネオアイム島④,12,58.333333333333336,83.33333333333334,100.0,1,1,1,1,1,1
2026-06-19,ネオアイム島⑤,8,12.5,25.0,62.5,0,0,0,0,0,0
2026-06-19,ハッピ島,8,12.5,37.5,62.5,0,0,0,0,0,0
2026-06-19,ファン島①,10,20.0,20.0,50.0,0,0,0,0,0,0
2026-06-19,ファン島②,10,0.0,0.0,30.0,0,0,0,0,0,0
2026-06-19,マイジャグ島A,15,13.333333333333334,26.666666666666668,46.666666666666664,0,0,0,0,0,0
2026-06-19,マイジャグ島B,10,20.0,30.0,50.0,0,0,0,0,0,0
2026-06-19,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-06-19,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-06-19,ミスタ島,10,10.0,40.0,60.0,0,0,0,0,0,0
2026-06-19,ミラクル島,10,20.0,50.0,60.0,0,0,0,0,0,0
2026-06-29,ガール島,10,10.0,20.0,40.0,0,0,0,0,0,0
2026-06-29,ゴー島①,10,0.0,20.0,30.0,0,0,0,0,0,0
2026-06-29,ゴー島②,10,40.0,40.0,80.0,1,0,0,0,0,0
2026-06-29,ネオアイム島①,8,0.0,12.5,25.0,0,0,0,0,0,0
2026-06-29,ネオアイム島②,8,0.0,25.0,25.0,0,0,0,0,0,0
2026-06-29,ネオアイム島③,12,8.333333333333332,8.333333333333332,33.33333333333333,0,0,0,0,0,0
2026-06-29,ネオアイム島④,12,8.333333333333332,16.666666666666664,25.0,0,0,0,0,0,0
2026-06-29,ネオアイム島⑤,8,37.5,75.0,87.5,1,1,1,0,1,0
2026-06-29,ハッピ島,8,12.5,12.5,25.0,0,0,0,0,0,0
2026-06-29,ファン島①,10,30.0,50.0,80.0,1,0,0,0,0,0
2026-06-29,ファン島②,10,0.0,0.0,40.0,0,0,0,0,0,0
2026-06-29,マイジャグ島A,15,6.666666666666667,13.333333333333334,60.0,0,0,0,0,0,0
2026-06-29,マイジャグ島B,10,20.0,50.0,80.0,1,0,0,0,0,0
2026-06-29,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2026-06-29,マイジャグ島D,15,0.0,0.0,0.0,0,0,0,0,0,0
2026-06-29,ミスタ島,10,40.0,40.0,50.0,0,0,0,0,0,0
2026-06-29,ミラクル島,10,20.0,40.0,50.0,0,0,0,0,0,0
2026-07-09,ガール島,10,20.0,20.0,30.0,0,0,0,0,0,0
2026-07-09,ゴー島①,10,0.0,20.0,40.0,0,0,0,0,0,0
2026-07-09,ゴー島②,10,60.0,60.0,80.0,1,1,1,1,0,0
