日付,営業日タイプ,島,台数,平均G数,平均合成確率,◎台数,○以上台数,△以上台数,◎率,○以上率,△以上率,実績スコア,判定,強い全台系フラグ,候補フラグ
2026-07-29,9の日,ネオアイム島⑤,8,6899.75,153.98,1,1,3,12.5,12.5,37.5,17.5,通常,0,0
2026-07-29,9の日,ハッピ島,8,7453.38,143.48,3,4,5,37.5,50.0,62.5,46.25,全台系候補,0,1
2026-07-29,9の日,ファン島①,10,6439.4,167.9,0,2,2,0.0,20.0,20.0,10.0,通常,0,0
2026-07-29,9の日,ファン島②,10,6979.1,153.01,2,3,6,20.0,30.0,60.0,31.0,通常,0,0
2026-07-29,9の日,マイジャグ島A,25,8082.04,162.71,1,1,9,4.0,4.0,36.0,10.4,通常,0,0
2026-07-29,9の日,マイジャグ島B,25,8414.24,139.02,6,9,16,24.0,36.0,64.0,35.6,通常,0,0
2026-07-29,9の日,ミスタ島,10,7783.2,145.39,1,3,6,10.0,30.0,60.0,26.0,通常,0,0
2026-07-29,9の日,ミラクル島,10,7122.3,150.64,1,1,4,10.0,10.0,40.0,16.0,通常,0,0
2026-08-09,9の日,ガール島,10,9182.4,124.27,6,7,8,60.0,70.0,80.0,67.0,強い全台系,1,1
2026-08-09,9の日,ゴー島①,10,6457.7,163.85,1,1,2,10.0,10.0,20.0,12.0,通常,0,0
2026-08-09,9の日,ゴー島②,10,7816.5,130.62,3,5,5,30.0,50.0,50.0,40.0,通常,0,0
2026-08-09,9の日,ネオアイム島①,8,5852.75,167.01,0,2,2,0.0,25.0,25.0,12.5,通常,0,0
2026-08-09,9の日,ネオアイム島②,8,5557.25,190.44,0,1,2,0.0,12.5,25.0,8.75,通常,0,0
2026-08-09,9の日,ネオアイム島③,12,5901.17,178.99,1,1,5,8.33,8.33,41.67,15.0,通常,0,0
2026-08-09,9の日,ネオアイム島④,12,5870.58,167.46,2,2,4,16.67,16.67,33.33,20.0,通常,0,0
2026-08-09,9の日,ネオアイム島⑤,8,5541.38,160.45,0,0,3,0.0,0.0,37.5,7.5,通常,0,0
2026-08-09,9の日,ハッピ島,8,6505.5,168.56,1,1,3,12.5,12.5,37.5,17.5,通常,0,0
2026-08-09,9の日,ファン島①,10,6761.1,151.35,1,3,5,10.0,30.0,50.0,24.0,通常,0,0
2026-08-09,9の日,ファン島②,10,5841.3,173.71,0,0,0,0.0,0.0,0.0,0.0,通常,0,0
2026-08-09,9の日,マイジャグ島A,15,7869.07,153.19,1,4,7,6.67,26.67,46.67,20.67,通常,0,0
2026-08-09,9の日,マイジャグ島B,10,7875.0,147.57,2,3,6,20.0,30.0,60.0,31.0,通常,0,0
2026-08-09,9の日,マイジャグ島C,10,7817.7,165.13,1,1,3,10.0,10.0,30.0,14.0,通常,0,0
2026-08-09,9の日,マイジャグ島D,15,7437.93,162.23,1,2,4,6.67,13.33,26.67,12.67,通常,0,0
2026-08-09,9の日,ミスタ島,10,8020.5,142.71,0,3,7,0.0,30.0,70.0,23.0,通常,0,0
2026-08-09,9の日,ミラクル島,10,6423.0,170.96,0,2,3,0.0,20.0,30.0,12.0,通常,0,0
