日付,営業日タイプ,島,台数,平均G数,平均合成確率,◎台数,○以上台数,△以上台数,◎率,○以上率,△以上率,実績スコア,判定,強い全台系フラグ,候補フラグ
2026-04-09,9の日,ゴー島①,10,6889.6,150.52,1,1,5,10.0,10.0,50.0,18.0,通常,0,0
2026-04-09,9の日,ゴー島②,10,7877.2,132.86,3,3,6,30.0,30.0,60.0,36.0,通常,0,0
2026-04-09,9の日,ネオアイム島①,8,6139.0,163.85,2,2,6,25.0,25.0,75.0,35.0,通常,0,0
2026-04-09,9の日,ネオアイム島②,8,5044.12,163.4,0,0,2,0.0,0.0,25.0,5.0,通常,0,0
2026-04-09,9の日,ネオアイム島③,12,5437.33,165.73,2,2,3,16.67,16.67,25.0,18.33,通常,0,0
2026-04-09,9の日,ネオアイム島④,12,5995.17,155.97,1,3,4,8.33,25.0,33.33,18.33,通常,0,0
2026-04-09,9の日,ネオアイム島⑤,8,5224.12,163.85,0,2,3,0.0,25.0,37.5,15.0,通常,0,0
2026-04-09,9の日,ハッピ島,8,5786.12,164.64,1,1,4,12.5,12.5,50.0,20.0,通常,0,0
2026-04-09,9の日,ファン島①,10,5950.1,162.41,1,2,5,10.0,20.0,50.0,21.0,通常,0,0
2026-04-09,9の日,ファン島②,10,6010.4,152.89,1,2,5,10.0,20.0,50.0,21.0,通常,0,0
2026-04-09,9の日,マイジャグ島A,25,6699.48,170.28,1,3,9,4.0,12.0,36.0,12.8,通常,0,0
2026-04-09,9の日,マイジャグ島B,25,6722.8,174.86,1,3,4,4.0,12.0,16.0,8.8,通常,0,0
2026-04-09,9の日,ミスタ島,10,6479.4,154.43,0,1,5,0.0,10.0,50.0,13.0,通常,0,0
2026-04-09,9の日,ミラクル島,10,6776.5,155.56,0,3,4,0.0,30.0,40.0,17.0,通常,0,0
2026-04-19,9の日,ガール島,10,6699.5,154.98,0,2,5,0.0,20.0,50.0,16.0,通常,0,0
2026-04-19,9の日,ゴー島①,10,6941.8,152.12,1,2,4,10.0,20.0,40.0,19.0,通常,0,0
2026-04-19,9の日,ゴー島②,10,7493.6,143.3,2,3,4,20.0,30.0,40.0,27.0,通常,0,0
2026-04-19,9の日,ネオアイム島①,8,6209.88,154.69,0,2,3,0.0,25.0,37.5,15.0,通常,0,0
2026-04-19,9の日,ネオアイム島②,8,6495.38,151.96,0,1,4,0.0,12.5,50.0,13.75,通常,0,0
2026-04-19,9の日,ネオアイム島③,12,6533.5,154.35,1,2,5,8.33,16.67,41.67,17.5,通常,0,0
2026-04-19,9の日,ネオアイム島④,12,6772.83,166.55,2,4,5,16.67,33.33,41.67,26.67,通常,0,0
2026-04-19,9の日,ネオアイム島⑤,8,8273.12,122.71,6,7,8,75.0,87.5,100.0,83.75,強い全台系,1,1
2026-04-19,9の日,ハッピ島,8,5208.0,157.29,1,1,4,12.5,12.5,50.0,20.0,通常,0,0
2026-04-19,9の日,ファン島①,10,8866.0,127.87,5,6,9,50.0,60.0,90.0,61.0,強い全台系,1,1
2026-04-19,9の日,ファン島②,10,6250.4,164.79,1,2,4,10.0,20.0,40.0,19.0,通常,0,0
2026-04-19,9の日,マイジャグ島A,25,6824.44,164.97,2,5,8,8.0,20.0,32.0,16.4,通常,0,0
2026-04-19,9の日,マイジャグ島B,25,7449.32,157.09,3,4,13,12.0,16.0,52.0,21.2,通常,0,0
2026-04-19,9の日,ミスタ島,10,5055.4,177.77,0,0,1,0.0,0.0,10.0,2.0,通常,0,0
2026-04-19,9の日,ミラクル島,10,7226.8,148.97,1,3,6,10.0,30.0,60.0,26.0,通常,0,0
2026-04-29,9の日,ガール島,10,7628.3,149.65,2,3,4,20.0,30.0,40.0,27.0,通常,0,0
2026-04-29,9の日,ゴー島①,10,7278.2,143.42,2,2,3,20.0,20.0,30.0,22.0,通常,0,0
2026-04-29,9の日,ゴー島②,10,7701.0,134.97,2,3,4,20.0,30.0,40.0,27.0,通常,0,0
2026-04-29,9の日,ネオアイム島①,8,6562.12,157.89,2,3,4,25.0,37.5,50.0,33.75,通常,0,0
2026-04-29,9の日,ネオアイム島②,8,7030.25,147.94,1,1,3,12.5,12.5,37.5,17.5,通常,0,0
2026-04-29,9の日,ネオアイム島③,12,6902.42,158.48,1,2,5,8.33,16.67,41.67,17.5,通常,0,0
2026-04-29,9の日,ネオアイム島④,12,7096.75,155.76,2,2,4,16.67,16.67,33.33,20.0,通常,0,0
2026-04-29,9の日,ネオアイム島⑤,8,6954.62,155.82,1,1,3,12.5,12.5,37.5,17.5,通常,0,0
2026-04-29,9の日,ハッピ島,8,7938.38,138.43,3,4,5,37.5,50.0,62.5,46.25,全台系候補,0,1
2026-04-29,9の日,ファン島①,10,7977.2,148.54,1,5,6,10.0,50.0,60.0,32.0,通常,0,0
2026-04-29,9の日,ファン島②,10,7120.9,153.78,1,2,6,10.0,20.0,60.0,23.0,通常,0,0
2026-04-29,9の日,マイジャグ島A,25,7548.44,158.12,1,3,11,4.0,12.0,44.0,14.4,通常,0,0
2026-04-29,9の日,マイジャグ島B,25,7825.64,155.09,3,4,11,12.0,16.0,44.0,19.6,通常,0,0
2026-04-29,9の日,ミスタ島,10,7243.5,140.9,3,3,6,30.0,30.0,60.0,36.0,通常,0,0
2026-04-29,9の日,ミラクル島,10,9548.5,124.22,4,7,9,40.0,70.0,90.0,59.0,全台系候補,0,1
2026-05-09,9の日,ガール島,10,9095.4,131.01,5,5,8,50.0,50.0,80.0,56.0,強い全台系,1,1
2026-05-09,9の日,ゴー島①,10,7072.6,145.18,1,3,5,10.0,30.0,50.0,24.0,通常,0,0
2026-05-09,9の日,ゴー島②,10,6728.5,154.82,1,1,2,10.0,10.0,20.0,12.0,通常,0,0
2026-05-09,9の日,ネオアイム島①,8,6633.75,153.2,0,0,3,0.0,0.0,37.5,7.5,通常,0,0
2026-05-09,9の日,ネオアイム島②,8,6784.12,178.7,2,3,5,25.0,37.5,62.5,36.25,通常,0,0
2026-05-09,9の日,ネオアイム島③,12,6268.0,166.9,0,1,3,0.0,8.33,25.0,7.5,通常,0,0
2026-05-09,9の日,ネオアイム島④,12,8543.5,127.42,7,8,10,58.33,66.67,83.33,65.83,強い全台系,1,1
2026-05-09,9の日,ネオアイム島⑤,8,5861.25,171.38,1,1,3,12.5,12.5,37.5,17.5,通常,0,0
2026-05-09,9の日,ハッピ島,8,6093.5,175.54,2,2,3,25.0,25.0,37.5,27.5,通常,0,0
2026-05-09,9の日,ファン島①,10,7846.5,143.03,2,2,6,20.0,20.0,60.0,28.0,通常,0,0
2026-05-09,9の日,ファン島②,10,7394.6,157.27,0,0,6,0.0,0.0,60.0,12.0,通常,0,0
2026-05-09,9の日,マイジャグ島A,25,7465.28,160.52,2,4,8,8.0,16.0,32.0,15.2,通常,0,0
2026-05-09,9の日,マイジャグ島B,25,7209.76,173.99,0,3,6,0.0,12.0,24.0,8.4,通常,0,0
2026-05-09,9の日,ミスタ島,10,6320.2,155.88,1,1,3,10.0,10.0,30.0,14.0,通常,0,0
2026-05-09,9の日,ミラクル島,10,6839.4,151.44,2,4,5,20.0,40.0,50.0,32.0,通常,0,0
2026-05-19,9の日,ガール島,10,9155.7,119.93,6,7,9,60.0,70.0,90.0,69.0,強い全台系,1,1
2026-05-19,9の日,ゴー島①,10,7722.9,157.47,0,2,5,0.0,20.0,50.0,16.0,通常,0,0
2026-05-19,9の日,ゴー島②,10,7802.7,142.46,0,1,6,0.0,10.0,60.0,15.0,通常,0,0
2026-05-19,9の日,ネオアイム島①,8,5745.12,156.5,2,2,3,25.0,25.0,37.5,27.5,通常,0,0
2026-05-19,9の日,ネオアイム島②,8,6536.75,160.14,0,0,2,0.0,0.0,25.0,5.0,通常,0,0
2026-05-19,9の日,ネオアイム島③,12,6435.5,154.67,1,2,6,8.33,16.67,50.0,19.17,通常,0,0
2026-05-19,9の日,ネオアイム島④,12,6520.83,162.14,1,1,4,8.33,8.33,33.33,13.33,通常,0,0
2026-05-19,9の日,ネオアイム島⑤,8,6967.88,161.04,0,1,3,0.0,12.5,37.5,11.25,通常,0,0
2026-05-19,9の日,ハッピ島,8,6968.12,161.45,2,2,3,25.0,25.0,37.5,27.5,通常,0,0
2026-05-19,9の日,ファン島①,10,5932.4,159.98,0,1,3,0.0,10.0,30.0,9.0,通常,0,0
2026-05-19,9の日,ファン島②,10,7457.3,148.91,1,3,4,10.0,30.0,40.0,22.0,通常,0,0
2026-05-19,9の日,マイジャグ島A,25,7264.44,165.13,2,4,10,8.0,16.0,40.0,16.8,通常,0,0
2026-05-19,9の日,マイジャグ島B,25,7556.72,160.66,1,2,9,4.0,8.0,36.0,11.6,通常,0,0
2026-05-19,9の日,ミスタ島,10,4764.4,173.98,0,0,0,0.0,0.0,0.0,0.0,通常,0,0
2026-05-19,9の日,ミラクル島,10,6770.6,158.81,1,2,3,10.0,20.0,30.0,17.0,通常,0,0
2026-05-29,9の日,ガール島,10,7481.0,153.1,2,2,3,20.0,20.0,30.0,22.0,通常,0,0
2026-05-29,9の日,ゴー島①,10,7648.9,138.37,0,1,5,0.0,10.0,50.0,13.0,通常,0,0
2026-05-29,9の日,ゴー島②,10,7391.1,141.42,1,4,6,10.0,40.0,60.0,29.0,通常,0,0
2026-05-29,9の日,ネオアイム島①,8,6890.38,157.72,0,1,3,0.0,12.5,37.5,11.25,通常,0,0
